"","BF","direction","sample_size"
"343",241.934497002434,3,80
"344",1517376.16215544,3,80
"345",29.2899036240034,3,80
"346",0.0505466392795033,4,80
"347",3727.12223997158,3,80
"348",0.068232622208211,4,80
"349",86.5986383159063,3,80
"350",288.691641826801,3,80
"351",329825.0639606,3,80
"352",0.659874340986682,2,80
"353",130.101484664041,3,80
"354",2301.40240142662,3,80
"355",22.9695142166667,3,80
"356",4630.49002573622,3,80
"357",6007.21631724129,3,80
"358",29623.911837842,3,80
"359",9941088949.91602,3,80
"360",1805.71504270376,3,80
"361",0.146639363827279,4,80
"362",1552119.70956895,3,80
"363",29321642.6824064,3,80
"364",394.084566138353,3,80
"365",1.34372947717053,1,80
"366",685666.861067524,3,80
"367",8.56176854245854,3,80
"368",28338.2540999111,3,80
"369",161.916709345437,3,80
"370",3091.76175444247,3,80
"371",0.605515923360233,2,80
"372",3.91756924774107,3,80
"373",28.6030345060472,3,80
"374",1.64548674737451,1,80
"375",101.706007151104,3,80
"376",2011.82326696749,3,80
"377",2603920.59429158,3,80
"378",14.2101773903603,3,80
"379",594444.54470895,3,80
"380",0.246892851453677,4,80
"381",198.594238814647,3,80
"382",17845086146.9977,3,80
"383",0.177844528528687,4,80
"384",0.211587769116143,4,80
"385",17165.2475852132,3,80
"386",36.6631915338635,3,80
"387",1.97408489221261,1,80
"388",20.9595525192673,3,80
"389",11.5937215173139,3,80
"390",5833509.72602725,3,80
"391",0.506378398921464,2,80
"392",2953.46576735584,3,80
"393",619.002766912593,3,80
"394",0.0697989511009427,4,80
"395",1.6660145366834,1,80
"396",0.556343030767161,2,80
"397",61.0562891171752,3,80
"398",28.9591136458705,3,80
"399",45.3378921081533,3,80
"400",4.11044226007551,3,80
"401",4632.04764831434,3,80
"402",276333.435407913,3,80
"403",297673816.551105,3,80
"404",0.626607803580386,2,80
"405",493.816239162648,3,80
"406",27.7469069814525,3,80
"407",14906.9366511402,3,80
"408",445.227269002167,3,80
"409",2925744.11750364,3,80
"410",0.57579342591625,2,80
"411",3034.51696713187,3,80
"412",6.71815583884241,3,80
"413",2.27477379874575,1,80
"414",28.7869646379838,3,80
"415",1138.28788331786,3,80
"416",730526.776935123,3,80
"417",809.129823256934,3,80
"418",5.84777632653917,3,80
"419",2625132846.21163,3,80
"420",42.2595247118515,3,80
"421",2.66157267951113,1,80
"422",7.39148736423361,3,80
"423",5732789.69254878,3,80
"424",122490.542297826,3,80
"425",2910.07618336411,3,80
"426",910.590852922474,3,80
"427",1.02677892434101,1,80
"428",10353.2975204351,3,80
"429",3.24415923835438,3,80
"430",23113.9642968156,3,80
"431",2.69758943866247,1,80
"432",53.7411707614984,3,80
"433",10.3381779155311,3,80
"434",0.187665186763907,4,80
"435",1.40381057050071,1,80
"436",30.3748949419716,3,80
"437",34.5089186117141,3,80
"438",1.40982239167675,1,80
"439",1.69865803471084,1,80
"440",0.458307664431461,2,80
"441",2.36172156621621,1,80
"442",11.2462251300323,3,80
"443",0.0287588978872066,4,80
